Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5,Linker 6,Part 6,Linker 7,Part 7,Linker 8,Part 8,Linker 9,Part 9,Linker 10,Part 10
A1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,,,,,,,,,,
B1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS1,BASIC_sfGFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,,,,,,,,,,
C1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS1,BASIC_sfGFP_ORF_v1.0,UTR3-RBS2,BASIC_RFP_ORF_v1.0,,,,,,,,,,
D1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS1,BASIC_sfGFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,,,,,,,,,,
E1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,,,,,,,,,,
F1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0,UTR3-RBS2,BASIC_RFP_ORF_v1.0,,,,,,,,,,
G1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,,,,,,,,,,
H1,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,,,,,,,,,,
A2,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR3-RBS2,BASIC_RFP_ORF_v1.0,,,,,,,,,,
B2,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_BFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,,,,,,,,,,
C2,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR1-RBS1,BASIC_sfGFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,,,,,,,,,,
D2,LMS,BASIC_SEVA_37_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR1-RBS1,BASIC_sfGFP_ORF_v1.0,UTR3-RBS2,BASIC_RFP_ORF_v1.0,,,,,,,,,,
